<<<<<<< HEAD
﻿子用例编号,用例编号,测试类型,测试优先级,测试对象,验证描述（输入→操作）,期望结果,N/A,实际结果,测试结果,是否在fealibTest覆盖
TC-UNIT-DATE-001-10,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,curdate(1672531200),"期望输出 ""20230101""",[588264],FAIL,是
TC-UNIT-DATE-001-11,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,unix_timestamp(1711123200) 透传,期望输出 1711123200（原值不变）,[],FAIL,是
TC-UNIT-DATE-001-12,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,unix_timestamp(0),期望输出 0,[],FAIL,是
TC-UNIT-DATE-001-13,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,unix_timestamp 与 identity 对 int64 行为对比,两者结果一致,N/A,FAIL,是
TC-UNIT-DATE-001-14,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,"from_unixtime(1711123200, ""%Y-%m-%d"")","期望输出 ""2024-03-22""",[],FAIL,是
TC-UNIT-DATE-001-15,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,"from_unixtime(1711123200, ""%Y%m%d"")","期望输出 ""20240322""",[],FAIL,是
TC-UNIT-DATE-001-16,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,"from_unixtime(1711123200, ""%H:%M:%S"")",期望输出时间部分，验证格式正确,[],FAIL,是
TC-UNIT-DATE-001-17,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,"from_unixtime(0, ""%Y-%m-%d"")","期望输出 ""1970-01-01""",[],FAIL,是
TC-UNIT-DATE-001-18,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,同一时区下 year/month/day/curdate 与 from_unixtime 日期分量一致性,各函数日期分量完全一致,"year_hash=[55314], month_hash=[51185], day_hash=[1553], curdate_hash=[588264]",PASS,是
TC-UNIT-DATE-002-01,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240322"", 7)","期望输出 ""20240329""",[],FAIL,是
TC-UNIT-DATE-002-02,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240322"", 0) 加0天","期望输出 ""20240322""（不变）",[],FAIL,是
TC-UNIT-DATE-002-03,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240228"", 1) 闰年2月","期望输出 ""20240229""（2024闰年）",[],FAIL,是
TC-UNIT-DATE-002-04,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240229"", 1) 闰年跨月","期望输出 ""20240301""",[],FAIL,是
TC-UNIT-DATE-002-05,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240131"", 1) 普通跨月","期望输出 ""20240201""",[],FAIL,是
TC-UNIT-DATE-002-06,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20241231"", 1) 跨年","期望输出 ""20250101""",[],FAIL,是
TC-UNIT-DATE-002-07,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240101"", -1) 负数天","期望输出 ""20231231""（等价date_sub）",[],FAIL,是
TC-UNIT-DATE-002-08,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_sub(""20240101"", 1) 跨年","期望输出 ""20231231""",[],FAIL,是
TC-UNIT-DATE-002-09,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_sub(""20240301"", 1) 跨月至闰年2月","期望输出 ""20240229""",[],FAIL,是
TC-UNIT-DATE-002-10,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_sub(""20240322"", 7)","期望输出 ""20240315""",[],FAIL,是
TC-UNIT-DATE-002-11,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_sub(""20240322"", 0) 减0天","期望输出 ""20240322""（不变）",[],FAIL,是
TC-UNIT-DATE-002-12,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"datediff(""20240322"", ""20240101"")",期望输出 81,[],FAIL,是
TC-UNIT-DATE-002-13,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"datediff(""20240101"", ""20240322"") 负差",期望输出 -81,[],FAIL,是
TC-UNIT-DATE-002-14,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"datediff(""20240322"", ""20240322"") 同一天",期望输出 0,[],FAIL,是
TC-UNIT-DATE-002-15,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"datediff(""20250101"", ""20240101"") 2024闰年",期望输出 366,[],FAIL,是
TC-UNIT-DATE-002-16,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"datediff(""20240229"", ""20240228"") 闰年2月",期望输出 1,[],FAIL,是
TC-UNIT-DIST-001-01,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance(""kitten"", ""kitten"", 10) 相同字符串",期望输出 0.0f,0.0,PASS,是
TC-UNIT-DIST-001-02,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance(""kitten"", ""sitting"", 10)","期望输出 ∈ (0,1)，记录实际值",0.0,PASS,是
TC-UNIT-DIST-001-03,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance(""abc"", ""xyz"", 3) 完全不同",期望输出较大值,0.0,FAIL,是
TC-UNIT-DIST-001-04,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance("""", """", 5) 空字符串",期望输出 0.0f，不崩溃,0.0,PASS,是
TC-UNIT-DIST-001-05,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance(""abc"", """", 5) 一方为空",期望输出正数，不崩溃,0.0,FAIL,是
TC-UNIT-DIST-001-06,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance(""a"", ""b"", 0) length=0",不崩溃，返回 padding 或 0.0f,0.0,PASS,是
TC-UNIT-DIST-001-07,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"cosine_distance(""abc"", ""abc"", 3) 相同",期望输出 0.0f,0.0,PASS,是
TC-UNIT-DIST-001-08,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"cosine_distance(""hello"", ""world"", 2)","期望输出 ∈ (0,1]，记录实际值",0.0,PASS,是
TC-UNIT-DIST-001-09,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"cosine_distance("""", """", 2) 空字符串",不崩溃,0.0,PASS,是
TC-UNIT-DIST-001-10,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"cosine_distance(""abc"", ""abc"", 0) n_gram=0",不崩溃,0.0,PASS,是
TC-UNIT-DIST-001-11,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaccard_distance(""abc"", ""abc"", 3) 相同",期望输出 0.0f,0.0,PASS,是
TC-UNIT-DIST-001-12,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaccard_distance(""abc"", ""def"", 1) 完全不同",期望输出 1.0f,0.0,FAIL,是
TC-UNIT-DIST-001-13,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaccard_distance(""abc"", ""abd"", 1)","期望输出 ∈ (0,1)，记录实际值",0.0,FAIL,是
TC-UNIT-DIST-001-14,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaccard_distance("""", """", 2) 空字符串",不崩溃,0.0,PASS,是
TC-UNIT-DIST-001-15,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaro_winkler_distance(""MARTHA"", ""MARTHA"", 6) 相同",期望输出 0.0f,0.0,PASS,是
TC-UNIT-DIST-001-16,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaro_winkler_distance(""MARTHA"", ""MARHTA"", 6) 高相似",期望输出较小正数,0.0,PASS,是
TC-UNIT-DIST-001-17,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaro_winkler_distance(""abc"", ""xyz"", 3) 差异大",期望输出较大值,0.0,FAIL,是
TC-UNIT-DIST-001-18,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaro_winkler_distance("""", """", 3) 空字符串",不崩溃,0.0,PASS,是
TC-UNIT-DIST-001-19,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"fuzzy(""hello"", ""hello"", 5) 完全匹配",期望输出 0.0f（距离=0）,0.0,FAIL,是
TC-UNIT-DIST-001-20,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"fuzzy(""hello"", ""helo"", 5) 一字之差",期望输出较小正数,0.0,FAIL,是
TC-UNIT-DIST-001-21,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"fuzzy(""hello"", ""xyz"", 5) 差异大",期望输出较大值,0.0,PASS,是
TC-UNIT-DIST-001-22,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"fuzzy("""", """", 3) 空字符串",不崩溃,0.0,PASS,是
TC-UNIT-DIST-001-23,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,所有5个距离函数返回值范围验证,"所有函数返回值 ∈ [0.0f, 1.0f]","edit=0.0, cosine=1.0, jaccard=1.0, jaro=1.0",PASS,是
TC-UNIT-DIST-001-24,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,所有5个距离函数相同字符串验证,相同字符串输入距离 = 0.0f,"edit=0.0, cosine=0.0, jaro=0.0, fuzzy_score=0.0",FAIL,是
>>>>>>> d8d02d4 (updated),,,,,,,N/A,NOT_RUN
